obj_regio1;obj_newlyConst;obj_yearConstructed;obj_firingTypes;obj_cellar;obj_houseNumber;obj_livingSpace;geo_krs;obj_condition;obj_street;geo_plz;obj_noRooms;obj_telekomInternetProductAvailable;obj_barrierFree;obj_regio3;obj_livingSpaceRange;obj_telekomUploadSpeed;obj_telekomDownloadSpeed;obj_purchasePrice;obj_purchasePrice_per_qm
Niedersachsen;y;2020.0;;n;;104.0;Celle_Kreis;first_time_use;;29336.0;4.0;True;n;other;2.0;10.0;50.0;325000.0;3125.0
Niedersachsen;n;1956.0;oil;y;;137.0;Osnabrück_Kreis;well_kept;;49565.0;6.0;True;n;other;3.0;02. Apr;16.0;219000.0;15.985.401.459.854.000
Niedersachsen;n;1967.0;district_heating;n;;111.0;Wolfsburg;well_kept;;38444.0;5.0;True;n;other;2.0;40.0;100.0;290000.0;2.612.612.612.612.610
Niedersachsen;n;1953.0;gas;y;;102.0;Hannover_Kreis;fully_renovated;;30916.0;5.0;True;n;Isernhagen;2.0;10.0;50.0;375000.0;3.676.470.588.235.290
Niedersachsen;n;1983.0;geothermal;n;;149.0;Osterholz_Kreis;;;28865.0;6.0;True;n;Lilienthal;4.0;02. Apr;16.0;320000.0;21.476.510.067.114.000
Niedersachsen;n;1977.0;gas;n;;140.0;Osnabrück;fully_renovated;;49076.0;4.0;True;n;other;3.0;;;359000.0;2.564.285.714.285.710
Niedersachsen;n;1933.0;oil;n;;228.0;Wesermarsch_Kreis;well_kept;;26349.0;8.0;True;n;Jade;7.0;02. Apr;16.0;353000.0;15.482.456.140.350.800
Niedersachsen;n;1909.0;gas;n;;209.0;Cuxhaven_Kreis;;;27628.0;8.0;True;n;other;6.0;02. Apr;16.0;198000.0;9.473.684.210.526.310
Niedersachsen;n;1955.0;gas;n;;118.55;Leer_Kreis;need_of_renovation;;26826.0;6.0;True;n;Weener;2.0;40.0;100.0;105000.0;8.857.022.353.437.360
Niedersachsen;n;1995.0;gas;n;;128.0;Stade_Kreis;well_kept;;21698.0;6.0;True;n;other;3.0;02. Apr;16.0;238000.0;1.859.375
Niedersachsen;n;2001.0;natural_gas_light;n;;132.0;Wesermarsch_Kreis;first_time_use;;26969.0;5.0;True;n;Butjadingen;3.0;02. Apr;16.0;263000.0;19.924.242.424.242.400
Niedersachsen;n;2018.0;gas;n;;140.0;Leer_Kreis;mint_condition;;26802.0;3.0;False;n;Moormerland;3.0;;;260000.0;1.857.142.857.142.850
Niedersachsen;n;1985.0;gas;y;61;110.0;Grafschaft_Bentheim_Kreis;well_kept;Feriengebiet Am Waldbad;49870.0;4.0;True;n;other;2.0;02. Apr;16.0;124500.0;11.318.181.818.181.800
Niedersachsen;n;1954.0;oil;n;;125.0;Emsland_Kreis;;;49733.0;6.0;True;n;Haren_Ems;3.0;02. Apr;16.0;130000.0;1040.0
Niedersachsen;n;1730.0;oil;n;;200.0;Göttingen_Kreis;need_of_renovation;;34355.0;7.0;True;n;other;6.0;40.0;100.0;230000.0;1150.0
Niedersachsen;n;1980.0;;n;;110.0;Leer_Kreis;well_kept;;26826.0;3.0;True;n;Weener;2.0;40.0;100.0;199000.0;1.809.090.909.090.900
Niedersachsen;n;1974.0;electricity;n;;150.0;Harburg_Kreis;well_kept;;21279.0;6.0;True;n;other;4.0;02. Apr;16.0;285000.0;1900.0
Niedersachsen;n;1969.0;;n;;197.0;Diepholz_Kreis;;;28816.0;9.0;True;n;Stuhr;6.0;40.0;100.0;241000.0;12.233.502.538.071.000
Niedersachsen;n;2007.0;gas;y;6;226.0;Grafschaft_Bentheim_Kreis;mint_condition;An der Waldseite;48455.0;6.0;True;n;Bad_Bentheim;7.0;02. Apr;16.0;475000.0;21.017.699.115.044.200
Niedersachsen;n;1968.0;oil;y;;179.1;Göttingen_Kreis;need_of_renovation;;37130.0;7.0;True;n;other;5.0;40.0;100.0;138000.0;7.705.192.629.815.740
Niedersachsen;n;1978.0;oil;n;;234.0;Harburg_Kreis;modernized;;21255.0;7.0;True;n;other;7.0;02. Apr;16.0;623000.0;26.623.931.623.931.600
Niedersachsen;n;1998.0;gas;n;;123.0;Harburg_Kreis;well_kept;;21255.0;4.0;True;n;other;3.0;02. Apr;16.0;349000.0;283.739.837.398.374
Niedersachsen;n;1994.0;gas;n;;75.0;Aurich_Kreis;well_kept;;26629.0;3.0;True;n;Großefehn;1.0;02. Apr;16.0;119000.0;15.866.666.666.666.600
Niedersachsen;n;1988.0;gas;n;;175.0;Emsland_Kreis;well_kept;;49744.0;06. Mai;True;n;other;5.0;02. Apr;16.0;269000.0;1.537.142.857.142.850
Niedersachsen;n;1904.0;;n;;235.0;Schaumburg_Kreis;;;31737.0;10.0;True;n;Rinteln;7.0;40.0;100.0;149000.0;6.340.425.531.914.890
Niedersachsen;n;1903.0;;n;;202.0;Schaumburg_Kreis;;;31737.0;7.0;True;n;Rinteln;6.0;40.0;100.0;292500.0;1.448.019.801.980.190
Niedersachsen;y;2020.0;;n;;112.0;Hannover_Kreis;mint_condition;;30989.0;4.0;True;n;Gehrden;2.0;02. Apr;16.0;725000.0;6.473.214.285.714.280
Niedersachsen;n;1985.0;;n;;206.0;Cloppenburg_Kreis;well_kept;;49624.0;5.0;True;n;other;6.0;02. Apr;16.0;255000.0;12.378.640.776.699.000
Niedersachsen;y;2020.0;;n;;113.0;Hannover_Kreis;mint_condition;;30952.0;5.0;True;n;Ronnenberg;2.0;40.0;100.0;656000.0;5.805.309.734.513.270
Niedersachsen;n;1991.0;gas;y;;101.0;Hannover_Kreis;well_kept;;30974.0;4.0;True;n;other;2.0;02. Apr;16.0;345000.0;3.415.841.584.158.410
Niedersachsen;n;1850.0;pellet_heating;n;;150.0;Nienburg_Weser_Kreis;need_of_renovation;;31604.0;5.0;False;n;other;4.0;;;150000.0;1000.0
Niedersachsen;n;1920.0;;n;;199.0;Leer_Kreis;;;26817.0;9.0;True;n;Rhauderfehn;6.0;;;239000.0;12.010.050.251.256.200
Niedersachsen;n;1978.0;gas;y;;185.0;Hannover_Kreis;need_of_renovation;;30900.0;6.0;False;n;Wedemark;6.0;;;530000.0;2.864.864.864.864.860
Niedersachsen;n;1961.0;gas;n;;220.8;Emsland_Kreis;;;26871.0;8.0;True;n;Papenburg;6.0;40.0;100.0;199900.0;9.053.442.028.985.500
Niedersachsen;n;1997.0;gas;n;;156.0;Wolfenbüttel_Kreis;;;38302.0;6.0;True;n;Wolfenbüttel;4.0;02. Apr;16.0;325000.0;20.833.333.333.333.300
Niedersachsen;n;1964.0;gas;n;;110.0;Aurich_Kreis;;;26529.0;4.0;True;n;other;2.0;02. Apr;16.0;149900.0;13.627.272.727.272.700
Niedersachsen;n;1960.0;gas;n;;159.0;Aurich_Kreis;well_kept;;26629.0;6.0;False;n;Großefehn;4.0;;;259000.0;16.289.308.176.100.600
Niedersachsen;n;1960.0;gas;n;;159.0;Aurich_Kreis;well_kept;;26629.0;6.0;False;n;Großefehn;4.0;;;229000.0;1.440.251.572.327.040
Niedersachsen;n;1968.0;oil;y;;160.0;Lüchow_Dannenberg_Kreis;well_kept;;29451.0;7.0;True;n;Dannenberg_Elbe;4.0;40.0;100.0;180000.0;1125.0
Niedersachsen;n;1969.0;oil;y;;200.0;Holzminden_Kreis;well_kept;;37627.0;8.0;True;n;other;6.0;40.0;100.0;129000.0;645.0
Niedersachsen;n;2004.0;gas;n;;114.0;Helmstedt_Kreis;well_kept;;38350.0;4.0;True;n;Helmstedt;2.0;40.0;100.0;210000.0;18.421.052.631.578.900
Niedersachsen;n;1952.0;gas;n;;200.0;Celle_Kreis;well_kept;;29320.0;9.0;True;n;other;6.0;40.0;100.0;295000.0;1475.0
Niedersachsen;n;1965.0;gas;n;;97.0;Celle_Kreis;modernized;;29328.0;3.0;True;n;other;1.0;10.0;50.0;210000.0;21.649.484.536.082.400
Niedersachsen;n;1973.0;oil;n;;135.0;Celle_Kreis;well_kept;;29313.0;5.0;True;n;Hambühren;3.0;40.0;100.0;219000.0;16.222.222.222.222.200
Niedersachsen;n;1983.0;oil;n;;150.0;Celle_Kreis;well_kept;;29348.0;5.0;True;n;other;4.0;40.0;100.0;145000.0;9.666.666.666.666.660
Niedersachsen;n;1962.0;gas;n;;100.0;Celle_Kreis;well_kept;;29229.0;3.0;True;n;Celle;1.0;02. Apr;6.0;169000.0;1690.0
Niedersachsen;n;1978.0;gas;n;;171.0;Celle_Kreis;well_kept;;29313.0;6.0;True;n;Hambühren;5.0;10.0;50.0;325000.0;19.005.847.953.216.300
Niedersachsen;n;1973.0;gas;y;;300.0;Osterode_am_Harz_Kreis;well_kept;;37412.0;11.0;True;n;Herzberg_am_Harz;8.0;10.0;50.0;144000.0;480.0
Niedersachsen;n;1954.0;solar_heating:gas;n;;318.0;Hannover_Kreis;need_of_renovation;;30926.0;13.0;True;n;Seelze;8.0;40.0;100.0;350000.0;11.006.289.308.176.100
Niedersachsen;n;1910.0;oil;n;;410.0;Uelzen_Kreis;well_kept;;29571.0;16.0;True;n;other;8.0;40.0;100.0;155000.0;3.780.487.804.878.040
Niedersachsen;n;1981.0;gas;y;;120.0;Hannover;well_kept;;30455.0;5.0;True;n;other;2.0;40.0;100.0;378500.0;31.541.666.666.666.600
Niedersachsen;n;2011.0;gas;n;;199.0;Lüneburg_Kreis;mint_condition;;21409.0;6.0;False;n;other;6.0;;;469000.0;235.678.391.959.799
Niedersachsen;n;1956.0;gas;y;;155.0;Celle_Kreis;modernized;;29308.0;5.0;False;n;Winsen_Aller;4.0;;;333000.0;21.483.870.967.741.900
Niedersachsen;n;1987.0;gas;n;;135.0;Oldenburg_Oldenburg;need_of_renovation;;26131.0;5.0;True;n;other;3.0;02. Apr;16.0;279000.0;20.666.666.666.666.600
Niedersachsen;n;1976.0;gas;y;;180.0;Peine_Kreis;need_of_renovation;;38159.0;5.0;True;n;Vechelde;5.0;02. Apr;16.0;320000.0;17.777.777.777.777.700
Niedersachsen;n;1976.0;gas;y;;236.0;Leer_Kreis;refurbished;;26802.0;7.0;True;n;Moormerland;7.0;40.0;100.0;259000.0;1.097.457.627.118.640
Niedersachsen;n;1968.0;gas;n;1;310.0;Leer_Kreis;refurbished;sperberweg;26789.0;9.0;;n;Leer_Ostfriesland;8.0;;;207500.0;6.693.548.387.096.770
Niedersachsen;n;1954.0;gas;n;;100.0;Aurich_Kreis;modernized;;26506.0;4.0;True;n;Norden;1.0;;;159000.0;1590.0
Niedersachsen;n;1968.0;oil;y;;160.0;Lüneburg_Kreis;well_kept;;21339.0;05. Mai;True;n;Lüneburg;4.0;40.0;100.0;499000.0;3118.75
Niedersachsen;n;1959.0;oil;y;;144.0;Hannover_Kreis;well_kept;;31303.0;6.0;True;n;Burgdorf;4.0;02. Apr;16.0;279000.0;1937.5
Niedersachsen;n;1952.0;gas;n;;176.0;Hameln_Pyrmont_Kreis;well_kept;;31789.0;06. Mai;True;n;Hameln;5.0;40.0;100.0;205000.0;11.647.727.272.727.200
Niedersachsen;n;1966.0;gas;y;;420.0;Hannover;;;30161.0;12.0;True;n;other;8.0;40.0;100.0;1950000.0;4.642.857.142.857.140
Niedersachsen;n;1920.0;gas;y;;190.0;Lüneburg_Kreis;well_kept;;21394.0;7.0;True;n;other;6.0;40.0;100.0;359000.0;18.894.736.842.105.200
Niedersachsen;n;1964.0;oil;y;;124.0;Goslar_Kreis;modernized;;38667.0;4.0;True;n;Bad_Harzburg;3.0;40.0;100.0;180000.0;14.516.129.032.258.000
Niedersachsen;n;1964.0;oil;y;10;140.0;Stade_Kreis;refurbished;Hogenbarg;21614.0;4.0;True;n;Buxtehude;3.0;10.0;50.0;359000.0;2.564.285.714.285.710
Niedersachsen;n;1974.0;gas;y;;210.0;Hameln_Pyrmont_Kreis;well_kept;;31855.0;10.0;True;n;Aerzen;6.0;10.0;50.0;245000.0;11.666.666.666.666.600
